ExpCode,Participant,CFS_Cover,WithCatch,CFS.congruent.aligned,CFS.congruent.misaligned,CFS.incongruent.aligned,CFS.incongruent.misaligned,monocular.congruent.aligned,monocular.congruent.misaligned,monocular.incongruent.aligned,monocular.incongruent.misaligned,CFS.inter,monocular.inter
E4,1215,test,1,525.0335318642581,513.4496099570347,526.2512261506345,505.24772168677623,472.4284838368775,489.75000882415367,507.2074556501065,483.37099506017313,-9.41958255663485,-41.15798557720956
E4,1216,test,1,639.7210069367752,627.6615729924137,631.5466449127796,646.1696164243081,678.6699835852918,667.4296944911475,691.0867552100116,669.1441874993661,26.682405455890034,-10.70227861650119
E4,1217,test,1,815.7190287526466,793.2275087341376,748.5709915415807,797.2384178708459,716.0173160951628,723.2405480823945,721.5995338376904,722.3135181915053,71.15894634777419,-6.509247633416862
E4,1218,test,1,575.9845679165794,581.852920750111,590.6232086197339,574.750423375311,694.4281014576106,686.5745452260662,667.74413001117,717.8178081402202,-21.741138077954474,57.92723436059464
E4,1219,test,1,674.2502732036833,677.0046395731955,663.7980494853937,675.385882222767,516.412283886791,550.3404310876336,508.2582650354848,541.8424911704524,8.833466367861092,-0.3439210658750653
E4,1220,test,1,540.996910436661,546.6898769288827,541.8585227657281,523.1667594395718,624.4528843034411,643.0355744444871,700.2651285513007,637.3847528585749,-24.38472981837799,-81.4630658337718
E4,1221,test,1,759.2794454288417,773.6352113180775,745.6219583198877,777.0592979672172,704.029780064399,676.0108041518833,759.7311366647066,669.326747371536,17.08157375809367,-62.38541338065488
E4,1222,test,1,601.2073543327134,677.954088704386,716.3619659958727,790.6330561095632,933.8219067414019,894.1379560831803,920.9881435878495,842.7787179829248,-2.475644257982026,-38.52547494670307
E4,1223,test,1,786.4259526437521,758.0995672391249,766.1445715295183,775.9300515939303,756.7354644614553,728.0536647002599,778.5215471682843,722.0909891323703,38.11186546903923,-27.748758274718625
E4,1224,test,1,520.0364494525679,502.06110744908636,506.9084254031102,482.97530127241,564.8418021254926,573.0557739366694,591.901881765807,578.8800190038199,-5.95778212721865,-21.23583457316397
E4,1225,test,1,713.0440106190507,711.2912466214364,725.9029331830485,708.6421539819615,534.843639708441,560.9357265100305,567.7437766761824,545.6125160835188,-15.50801520347261,-48.223347394253096
E4,1226,test,1,597.5900682765283,594.7829968346437,622.9322389252608,575.7249619275066,621.4493428925945,606.4741956077233,586.4740432551833,610.0112799848166,-44.40020555586955,38.51238401450439
E4,1227,test,1,613.3522314701106,594.7589785520705,595.9197580060418,600.7515699692223,576.2137925068871,583.5285552561255,590.031921444138,578.5279962902905,23.425064881220578,-18.818687903085902
E4,1228,test,1,822.935822056185,895.8849976721812,858.7930652626699,822.148417594924,847.3464010795313,847.4901427476135,780.0347539570896,782.5146830920338,-109.59382328374204,2.336187466862043
E4,1229,test,1,605.5458711725237,626.1872385132937,578.1177900278433,645.8706327877736,474.35746472812235,473.3764249838099,479.83445563798296,498.09048238062786,47.11147541916034,19.23706648695736
E4,1230,test,1,648.8026109984189,620.7516708396255,603.4198377508021,580.1402400006893,675.65724710205,676.1966702543937,672.8222094418016,692.2011759861562,4.771342408680653,18.839543392010796
E4,1231,test,1,587.5175951323025,582.5720651757567,593.1066811455014,578.7980900915701,498.58538834066593,525.4227566644356,530.9442082411036,494.97547205703864,-9.3630610973855255,-62.806104507834675
E4,1232,test,1,680.0357592088403,696.309712839496,734.5996383129682,668.92364836357,886.8726664346826,1026.846654888731,1118.760540032704,923.5654644551686,-81.94994358005385,-335.16906403158396
E4,1233,test,1,919.5147362770448,992.4250815647417,996.253195283177,975.5280474922074,703.8275824951226,739.6631078261709,854.1099655646409,778.8085551709769,-93.63549307866651,-111.13693572471232
E4,1234,test,1,774.9714973386928,748.224959421485,781.1104506740776,776.70145377541,789.9645732256976,837.1153543593529,874.1899766845926,830.0380059922453,22.33754101854015,-91.30275182600258
E4,1235,test,1,635.0603559735076,613.6832741139307,632.7621003484003,633.6406943621375,542.0741202381923,522.5667939757589,565.3008092108915,503.4091534618387,22.255675873314203,-42.38432948661938
